timestamp_ms,total_time_us,preprocess_us,find_gap_us,find_best_point_us,control_us,scan_size,frequency_hz
1750577016425,47.209,11.7,4.9,3.8,1.2,1080,230.0
1750577016429,51.417,12.3,4.9,4.0,1.0,1080,248.8
1750577016434,56.001,11.8,4.9,4.2,1.2,1080,225.3
1750577016445,47.709,11.7,4.8,0.7,1.4,1080,85.2
1750577016449,42.209,11.4,4.8,0.4,1.2,1080,267.2
1750577016454,39.542,11.9,4.8,0.5,1.4,1080,211.2
1750577016457,48.835,11.6,4.8,0.5,1.0,1080,348.7
1750577016461,40.834,11.4,5.0,4.1,1.1,1080,254.6
1750577016465,48.251,11.9,4.9,3.8,1.3,1080,204.4
1750577016472,47.292,11.7,4.8,4.0,1.2,1080,141.9
1750577016473,39.543,11.0,4.6,3.7,0.3,1080,1455.1
1750577016477,54.334,11.2,4.8,4.1,1.2,1080,272.0
1750577016482,46.459,11.5,4.9,4.0,1.2,1080,193.0
1750577016485,51.918,11.3,4.8,4.1,1.2,1080,369.3
1750577016490,42.959,11.3,5.3,3.8,1.3,1080,177.7
1750577016493,41.334,11.6,4.9,3.8,1.2,1080,364.3
1750577016497,39.792,12.0,5.6,4.4,0.4,1080,257.4
1750577016502,53.751,11.7,5.1,4.0,1.3,1080,200.7
1750577016513,47.084,11.4,4.8,3.9,1.4,1080,87.6
1750577016517,56.960,12.0,5.0,4.0,1.5,1080,284.5
1750577016521,39.917,12.1,5.0,4.2,1.3,1080,278.5
1750577016528,53.043,12.0,4.9,4.0,1.3,1080,127.7
1750577016530,47.751,11.4,4.9,4.0,1.7,1080,562.6
1750577016533,44.626,11.9,5.1,4.1,1.5,1080,386.9
1750577016537,46.918,11.2,4.8,4.0,1.5,1080,226.0
1750577016541,41.792,11.3,4.8,4.0,1.1,1080,281.2
1750577016545,47.459,11.4,5.0,4.0,1.3,1080,239.7
1750577016550,45.584,11.6,5.0,3.8,1.3,1080,213.1
1750577016553,40.376,11.8,5.0,3.7,0.8,1080,334.3
1750577016559,51.501,11.6,5.0,4.0,1.2,1080,165.3
1750577016561,46.167,11.4,4.8,4.0,1.4,1080,495.0
1750577016565,46.793,11.4,4.9,3.9,1.3,1080,237.5
1750577016569,45.126,10.9,4.8,3.9,1.2,1080,234.2
1750577016576,57.710,11.8,5.0,4.0,1.1,1080,148.3
1750577016576,42.625,10.8,4.5,3.7,0.3,1080,1616.3
1750577016585,57.668,12.3,5.2,4.1,1.3,1080,111.4
1750577016590,49.585,11.6,4.8,4.1,1.8,1080,209.2
1750577016593,48.501,11.2,4.8,3.9,0.9,1080,339.7
1750577016598,61.001,11.7,5.0,3.9,1.3,1080,217.5
