timestamp,total_time_ms,preprocess_ms,find_gap_ms,find_best_point_ms,control_ms,scan_size,frequency_hz
1750584584209,0.044,0.014,0.004,0.004,0.001,1080,294.4
1750584584213,0.048,0.015,0.005,0.004,0.001,1080,246.1
1750584584217,0.051,0.014,0.005,0.004,0.001,1080,226.1
1750584584221,0.041,0.013,0.004,0.004,0.001,1080,280.6
1750584584225,0.052,0.014,0.005,0.004,0.001,1080,240.9
1750584584229,0.050,0.014,0.005,0.004,0.001,1080,255.6
1750584584234,0.040,0.014,0.005,0.004,0.000,1080,218.3
1750584584238,0.042,0.015,0.005,0.004,0.000,1080,230.0
1750584584241,0.046,0.015,0.005,0.004,0.001,1080,328.1
1750584584245,0.044,0.015,0.005,0.004,0.001,1080,251.7
1750584584249,0.049,0.015,0.005,0.004,0.001,1080,250.8
1750584584253,0.044,0.014,0.005,0.004,0.001,1080,249.4
1750584584258,0.052,0.015,0.005,0.004,0.002,1080,214.4
1750584584262,0.059,0.013,0.004,0.004,0.001,1080,252.0
1750584584265,0.041,0.014,0.005,0.004,0.000,1080,259.8
1750584584269,0.044,0.014,0.004,0.004,0.000,1080,292.7
1750584584273,0.043,0.014,0.004,0.004,0.001,1080,245.3
1750584584277,0.043,0.014,0.004,0.004,0.001,1080,227.2
1750584584281,0.050,0.014,0.004,0.004,0.001,1080,278.1
1750584584285,0.046,0.014,0.005,0.004,0.002,1080,240.9
1750584584289,0.051,0.014,0.004,0.004,0.001,1080,257.6
1750584584293,0.041,0.013,0.004,0.004,0.000,1080,216.3
1750584584297,0.047,0.014,0.005,0.004,0.001,1080,253.5
1750584584301,0.041,0.014,0.006,0.004,0.000,1080,251.5
1750584584305,0.046,0.014,0.005,0.004,0.001,1080,288.1
1750584584309,0.046,0.014,0.005,0.004,0.001,1080,255.8
1750584584313,0.039,0.013,0.004,0.004,0.001,1080,245.6
1750584584317,0.043,0.014,0.004,0.004,0.001,1080,221.3
1750584584321,0.044,0.014,0.005,0.004,0.001,1080,277.4
1750584584326,0.037,0.013,0.004,0.004,0.001,1080,221.2
